EB_scientific_name,EB_reporting_rate,BT_replacement_name,TAX,SEN,EXO,VAG,EB_replacement_name,BT_scientific_name,BT_reporting_rate
Cygnus columbianus,0.001405461,,,,,,,Cygnus columbianus,8.55E-04
Cygnus cygnus,0.011243687,,,,,,,Cygnus cygnus,0.014686798
Cygnus olor,0.275901886,,,,,,,Cygnus olor,0.275013452
Delichon urbicum,0.085861413,,,,,,,Delichon urbicum,0.087107904
Dendrocopos major,0.182616607,,,,,,,Dendrocopos major,0.181163549
Dryobates minor,0.001317984,,,,,,,Dryobates minor,0.001060361
Egretta garzetta,0.152017215,,,,,,,Egretta garzetta,0.153119362
Emberiza calandra,0.012013483,,,,,,,Emberiza calandra,0.010983446
Emberiza cirlus,5.42E-04,,,,,,,Emberiza cirlus,5.86E-04
Emberiza citrinella,0.066307429,,,,,,,Emberiza citrinella,0.088563922
Emberiza hortulana,2.33E-05,,,,,TRUE,,,
Emberiza pusilla,9.04E-04,,,,,,,Emberiza pusilla,3.96E-04
Emberiza rustica,4.02E-04,,,,,,,Emberiza rustica,2.37E-04
Emberiza schoeniclus,0.146319559,,,,,,,Emberiza schoeniclus,0.17241161
Eremophila alpestris,8.81E-04,,,,,,,Eremophila alpestris,4.11E-04
Erithacus rubecula,0.623657231,,,,,,,Erithacus rubecula,0.618871269
Eudromias morinellus,3.44E-04,Charadrius morinellus,TRUE,TRUE,,,,,
Falco columbarius,0.005091151,,,,,,,Falco columbarius,0.004684582
Falco peregrinus,0.020632866,,,,,,,Falco peregrinus,0.034580445
Falco subbuteo,0.017244597,,,,,,,Falco subbuteo,0.015319849
Falco tinnunculus,0.15353348,,,,,,,Falco tinnunculus,0.148798785
Falco vespertinus,2.57E-04,,,,,,,Falco vespertinus,1.27E-04
Ficedula albicilla,1.34E-04,,,,,,,Ficedula albicilla,6.33E-05
Ficedula hypoleuca,0.004385505,,,,,,,Ficedula hypoleuca,0.004146488
Ficedula parva,3.79E-04,,,,,,,Ficedula parva,7.91E-05
Fratercula arctica,0.007103118,,,,,,,Fratercula arctica,0.004747887
Fringilla coelebs,0.368545669,,,,,,,Fringilla coelebs,0.405738613
Fringilla montifringilla,0.013313972,,,,,,,Fringilla montifringilla,0.01220207
Fulica atra,0.250825198,,,,,,,Fulica atra,0.239736651
Fulmarus glacialis,0.027666002,,,,,,,Fulmarus glacialis,0.018912417
Gallinago gallinago,0.069958128,,,,,,,Gallinago gallinago,0.068986801
Gallinula chloropus,0.30719526,,,,,,,Gallinula chloropus,0.303564081
,,,,,TRUE,,,Gallus gallus,3.17E-05
Garrulus glandarius,0.161149795,,,,,,,Garrulus glandarius,0.156616972
Gavia adamsii,2.45E-04,,,,,,,Gavia adamsii,1.74E-04
Gavia arctica,0.00202363,,,,,,,Gavia arctica,0.001883329
Gavia immer,0.008607719,,,,,,,Gavia immer,0.005982338
Gavia pacifica,1.11E-04,,,,,,,Gavia pacifica,6.33E-05
Gavia stellata,0.022639001,,,,,,,Gavia stellata,0.018152755
Gelochelidon nilotica,1.17E-05,,,,,TRUE,,,
Glareola pratincola,3.21E-04,,,,,,,Glareola pratincola,1.11E-04
Grus grus,0.001627069,,,,,,,Grus grus,0.002927864
Gulosus aristotelis,0.03167244,,,,,,,Gulosus aristotelis,0.023264647
Haematopus ostralegus,0.160438317,,,,,,,Haematopus ostralegus,0.167331371
Haliaeetus albicilla,6.94E-04,,,,,,,Haliaeetus albicilla,0.002310638
Himantopus himantopus,1.75E-05,,,,,,,Himantopus himantopus,3.01E-04
Hippolais icterina,1.22E-04,,,,,,,Hippolais icterina,6.33E-05
Hippolais polyglotta,1.22E-04,,,,,,,Hippolais polyglotta,1.27E-04
Hirundo rustica,0.18328143,,,,,,,Hirundo rustica,0.19092837
Hydrobates leucorhous,1.92E-04,,,,,,,Hydrobates leucorhous,6.33E-05
Hydrobates pelagicus,2.22E-04,,,,,,,Hydrobates pelagicus,2.22E-04
Hydrocoloeus minutus,0.006228349,,,,,,,Hydrocoloeus minutus,0.003909094
Hydroprogne caspia,2.04E-04,,,,,,,Hydroprogne caspia,3.17E-05
,,,,,,TRUE,,Ichthyaetus ichthyaetus,1.58E-05
Ichthyaetus melanocephalus,0.027246113,,,,,,,Ichthyaetus melanocephalus,0.019260596
Iduna caligata,1.75E-05,,,,,TRUE,,,
Iduna rama,5.83E-06,,,,,TRUE,,,
Ixoreus naevius,3.50E-05,,,,,TRUE,,,
Junco hyemalis,1.75E-05,,,,,TRUE,,,
Jynx torquilla,7.70E-04,,,,,,,Jynx torquilla,2.85E-04
Lagopus lagopus,0.00600091,,,,,,,Lagopus lagopus,0.00533346
Lagopus muta,9.33E-05,,,,,,,Lagopus muta,7.91E-05
Lanius collurio,5.89E-04,,,,,,,Lanius collurio,3.32E-04
Lanius cristatus,4.67E-05,,,,,TRUE,,,
Lanius excubitor,4.55E-04,,,,,,,Lanius excubitor,3.80E-04
Lanius minor,6.41E-05,,,,,,,Lanius minor,3.17E-05
Lanius senator,4.84E-04,,,,,,,Lanius senator,2.53E-04
Larus argentatus,0.399232537,,,,,,,Larus argentatus,0.346295065
Larus cachinnans,0.003959784,,,,,,,Larus cachinnans,0.001677587
Larus canus,0.144033498,,,,,,,Larus canus,0.132070395
Larus delawarensis,5.83E-05,,,,,,,Larus delawarensis,7.91E-05
Larus fuscus,0.25578805,,,,,,,Larus fuscus,0.258791504
Larus glaucoides,0.002344379,,,,,,,Larus glaucoides,0.00183585
Larus hyperboreus,7.64E-04,,,,,,,Larus hyperboreus,4.91E-04
Larus marinus,0.128101053,,,,,,,Larus marinus,0.105118222
Larus michahellis,0.008689364,,,,,,,Larus michahellis,0.005539202
Larus smithsonianus,2.33E-05,,,,,,,Larus smithsonianus,4.75E-05
Leucophaeus atricilla,5.83E-06,,,,,TRUE,,,
Leucophaeus pipixcan,1.40E-04,,,,,,,Leucophaeus pipixcan,6.33E-05
Limnodromus scolopaceus,2.97E-04,,,,,,,Limnodromus scolopaceus,2.22E-04
Limosa lapponica,0.0192449,,,,,,,Limosa lapponica,0.019197291
Limosa limosa,0.052468596,,,,,,,Limosa limosa,0.048080271
Linaria cannabina,0.165931861,,,,,,,Linaria cannabina,0.167742854
Linaria flavirostris,0.00463044,,,,,,,Linaria flavirostris,0.003006995
Locustella fluviatilis,6.76E-04,,,,,,,Locustella fluviatilis,1.74E-04
,,,,TRUE,,,,Locustella luscinioides,3.17E-04
Locustella naevia,0.007009809,,,,,,,Locustella naevia,0.008008103
Lophodytes cucullatus,5.83E-05,,,,,,,Lophodytes cucullatus,9.50E-05
Lophophanes cristatus,6.59E-04,,,,,,,Lophophanes cristatus,5.38E-04
Loxia curvirostra,0.007237249,,,,,,,Loxia curvirostra,0.007754882
Loxia leucoptera,4.67E-05,,,,,,,Loxia leucoptera,1.58E-05
Loxia pytyopsittacus,1.17E-05,,,,,,,Loxia pytyopsittacus,1.58E-05
Loxia scotica,1.34E-04,,,,,,,Loxia scotica,7.91E-05
Lullula arborea,0.006199191,,,,,,,Lullula arborea,0.007026873
Luscinia luscinia,5.83E-06,,,,,TRUE,,,
Luscinia megarhynchos,0.004525467,,,,,,,Luscinia megarhynchos,0.004035704
